,CAS ID,InChIKey,SMILES
0,118492-82-3,HCVPIOTWCPCBAF-YQGXAETFSA-N,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(C)C
0,79548-35-9,DJSOIWVYQLXAFK-MCTWXAMVNA-N,CC1=CCC2[C@@](C)(CO)CCC[C@]2(C)[C@@]12CC[C@@](C)(CC(=O)O)O2
0,28679-05-2,BTFJIXJJCSYFAL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCO
0,59806-73-4,JKYQZVRIQNFMHF-UHFFFAOYSA-N,CC1(C)CC=CC2=Cc3occc3C=C1C2
0,59870-72-3,XWCVASCMRTXXRY-UHFFFAOYSA-O,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3c(C)c1-2
0,4494-27-3,GDROEPRRAVOAOE-UHFFFAOYSA-N,COc1cc(OC)c2c(=O)c(OC)c(-c3ccc4c(c3)OCO4)oc2c1
0,705964-02-9,SCMLVRWSBIVDLC-KCFGPYQMNA-N,COc1cc(/C=C/C(=O)O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@@H]2CO)ccc1O
0,274675-25-1,IIWLGOCXDBSFCM-RMKNXTFCNA-N,C=C(C)C(O)Cc1c(O)cc(OC)c(C(=O)/C=C/c2ccc(O)cc2)c1O
0,53254-81-2,HMBXOSGHDRHNNU-SNVBAGLBSA-N,COC(=O)c1c(O)cc2cc3c(c(O)c2c1C)C(=O)CC(O)C3
0,122548-31-6,OTCZINUTVRBSEL-UHFFFAOYSA-N,CC1=C(C2=C(C)C(=O)C(=O)C(C(C)C)=C2)C=C(C(C)C)C(=O)C1=O
0,127612-80-0,XXUSQLVDIPLQIX-YCHIWHBGNA-N,Oc1ccc2c(c1)O[C@@H]1c3cc(O)c(O)cc3CO[C@H]1[C@H]2c1cc2c(cc1O)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
